<Apps_for_Android> games:2562.6501245740806 graphics:1289.8177796312643 play:1220.3661920885065 kindle:1173.858784049012 addictive:1035.6704232171337 addicting:929.5144539101439 fire:858.8626325561077 coins:830.1076098105212 challenging:826.8272563871086 levels:658.3417611893775 apps:578.9654191159176 puzzles:477.77274687772893 playing:473.2595297871505 ads:469.971017128168 free:407.5141793055782 download:294.7254831142168 faotd:288.8577201586641 downloaded:242.70521001886726 mahjong:237.3985770827314 bingo:214.35128166154627 android:202.266766056343 gameplay:198.5123356770461 freezes:189.67737127837006 facebook:186.9518559650919 unlock:185.7521008338788 deleted:179.2243589462116 puzzle:177.63418494685774 bought:172.5000538342128 upgrades:168.99856742047183 played:168.41152901888017 tablet:151.19105662192848 developer:148.37746519215403 price:147.09812960277847 quality:141.50944536129492 permissions:137.37091512558038 earn:134.7527163155313 author:134.12116619132183 uninstall:127.29106315507559 sudoku:126.99968483964763 fit:125.04083953320882 reading:124.85792383226251 hints:124.85044648519366 bored:123.92107847905844 years:123.64516847018176 made:123.05963956122689 characters:120.18055867861817 gameloft:115.53429315666729 written:113.78753410180047 series:113.57982618653126 solitaire:112.19115057879237 awesome:106.42390760025874 back:105.0675008579323 great:104.18550160502396 multiplayer:102.51457697684802 uninstalling:100.32193506574053 glitches:99.02553697390849 good:96.93418371786991 challenge:96.16020393653979 crashes:96.15099201479619 brain:95.3455313547141 waster:94.22529346826073 crashing:93.68803122186573 end:93.60167419090658 downloading:93.54235192211287 size:92.89940901377751 put:91.77221344926633 addicted:90.6612475066317 apos:86.64962060177764 flappy:86.64962060177764 freecell:86.64962060177764 devs:86.64962060177764 glu:86.64962060177764 teamlava:86.64962060177764 feel:84.72078145708686 purchased:83.06073908604917
<Automotive> oem:1035.5693935647953 honda:1035.2233546903822 engine:763.2772560433446 vehicle:667.9866189155997 headlights:661.4206245337347 exhaust:627.5001547880792 jeep:613.5399313513781 installed:560.5987164113533 tire:547.3958796305628 headlight:522.1912239048576 toyota:469.6296601687105 factory:415.447649158483 dealer:413.4005822828253 dealership:397.03297815053196 muffler:394.6383917024621 ford:386.0631254343619 wiper:376.08092581619 nissan:370.52182555608266 mats:370.3212450477255 fit:349.7825749970244 wipers:343.5650136848733 dodge:326.5746992956754 windshield:310.8390570085455 bumper:299.239055753451 fuel:294.44877090973023 chevy:285.28128856072595 crv:281.8774132495131 acura:281.8774132495131 acdelco:281.8774132495131 installation:279.50139427978536 gasket:277.61845358187327 camry:272.0728232278844 gmc:272.0728232278844 civic:260.74179769814253 helmet:247.71794633401743 subaru:246.08045365374122 cars:236.16855107959987 kia:233.23698768917063 cab:230.99769731356395 detailer:225.49906980759528 meguiar:225.49906980759528 delco:225.49906980759528 altima:225.49906980759528 hitch:218.43544121717864 trailer:211.0455775508571 wheel:208.3826942332545 tranny:198.49885928379243 atv:198.49885928379243 gaskets:198.49885928379243 passenger:197.6096371916635 decal:196.4494107031424 motorcycle:191.8847049377699 lights:189.2939892293913 trucks:180.17195569836852 torque:180.17195569836852 filter:178.9690494638147 buick:178.80499107931 integra:178.80499107931 silverado:178.80499107931 resistor:178.80499107931 alternator:178.80499107931 taillight:178.80499107931 coupe:172.44966676787277 sealant:172.44966676787277 trunk:169.97397704594815 arnley:169.12215681612378 ballasts:169.12215681612378 visors:169.12215681612378 dorman:169.12215681612378 weathertech:169.12215681612378 mpg:169.12215681612378 kensun:169.12215681612378 steering:163.31262171335004 mirror:160.7276146876078 vehicles:157.31348973218863
<Baby> diaper:2429.7403115072902 crib:2411.4696344948748 newborn:1315.699517113462 seat:1236.568554647577 pacifiers:1206.4343275012334 carseat:1191.0215686394013 sippy:1171.173348402516 pacifier:1105.9345674193123 nipple:1049.249885450171 diapers:996.1845009191934 britax:940.4892254976143 strollers:935.7670422052419 infant:923.4099821443248 medela:855.9647060352887 graco:850.6865180469032 babies:802.3882522007374 avent:765.608152744798 swaddle:765.608152744798 teething:748.5594567503487 teether:680.5319462167581 gate:659.2317602948096 toddler:634.3393846434815 son:515.5831313299492 highchair:510.386009154223 daughter:500.106564175473 nursery:499.79428603238443 naps:492.2451032742443 breast:472.9113510822339 bassinet:460.03943209515376 potty:446.34358428488844 tub:441.37996370040725 boppy:435.7665140017469 mam:435.7665140017469 swaddling:425.3162784554125 blanket:415.7605565241346 playtex:412.646443351679 latch:405.4483005373041 nipples:396.9349610980866 bottles:395.7462057889199 bath:393.89977215207455 recline:379.8047942076662 swaddled:379.8047942076662 reclined:352.76989464578253 diapering:340.2487062020367 wubbanub:340.2487062020367 prefolds:340.2487062020367 soothie:340.2487062020367 nuk:340.2487062020367 teethers:340.2487062020367 feeding:339.5712084229493 blankets:324.56777343944964 breastfeeding:317.95992559992453 bib:301.4653506180222 carrier:300.98161842196686 months:286.5126729986537 month:283.4037563613843 evenflo:270.6046682092817 toys:265.4906894070034 outgrew:262.0956385149684 colicky:255.18329231194858 snugride:255.18329231194858 blankie:255.18329231194858 carseats:255.18329231194858 sleepsacks:255.18329231194858 chicco:255.18329231194858 breastfed:255.18329231194858 prefold:255.18329231194858 milk:240.13856421661333 convertible:237.05175844906736 tray:229.65831196476606 munchkin:224.17919503626678 burp:224.17919503626678 bottle:217.01887079154923 wipes:211.92484652762278 seats:206.49623641260754
<Beauty> scent:2314.141468681996 lotion:2313.7342784339085 shampoo:2233.7242780034126 smells:2182.0780322934206 conditioner:1797.8646153277864 dry:1424.8590752486764 smell:1370.4095140091924 fragrance:1346.8212833984026 oily:1308.6093745395115 perfume:1259.9232973347914 moisturizer:1185.95199525633 curly:1150.566887942519 acne:1022.6360529571522 greasy:1017.4695571856745 curls:939.6151108198997 makeup:913.7857413157353 polish:901.1625528055328 lashes:848.9130292205318 brush:842.799164384929 salon:841.3731824713657 mascara:837.6895245628726 frizzy:837.6895245628726 tanning:762.2252497840742 frizz:759.3575076302493 serum:709.3547109818392 cleanser:709.3547109818392 products:694.6180317095933 moisturizing:683.3260989698778 bottle:669.0573809991776 cream:664.6859565711468 scalp:659.0344458929861 cologne:647.1112569768068 nail:625.9648619714136 curl:571.7985302821079 shiny:546.3253526157404 lipstick:542.6932353337339 face:521.7941418484188 dryer:514.4900579537422 perfumes:491.17999881806116 nails:490.2616035870042 shampoos:479.71252882694904 gel:477.76806351234103 comb:470.116522372116 complexion:469.7002539419139 pores:469.7002539419139 spf:456.5343422387775 fragrances:456.5343422387775 opi:455.6660038896612 brushes:441.42788016435316 drying:429.9694320285765 redness:428.2146615632922 curling:399.5317401137107 wavy:398.36256079200433 oil:390.040548663442 moisturized:371.4177900866975 eyelashes:371.4177900866975 hydrating:343.38109759815336 eyeliner:341.7364954507558 concealer:341.7364954507558 straightener:341.7364954507558 natural:336.2182704474312 silky:335.21693490031856 soap:331.1994106745775 lotions:328.2323986992465 breakouts:323.49815492627897 moisturizers:305.7691539182587 eyeshadow:303.7619198654456 smooth:296.7570743451626 scents:288.05874027584764 bristles:287.2365689163305 tan:286.96725628493226 wash:285.4730495167197 soft:280.5058726065304 sunscreen:279.0383233877897 apply:278.4981830775207
<Book> author:6161.971150985693 reading:6015.974497178472 characters:4710.11465685596 written:4242.260299012182 series:2794.9246130049146 reader:2771.99483873623 writing:2396.8844718139558 interesting:2355.764889012459 world:2154.5975214701875 pages:2106.7929921591945 enjoyed:2096.6458241789937 stories:2040.0279830498214 character:1918.968258149866 page:1774.3098214104339 history:1764.310008982198 information:1712.3337371151647 readers:1482.7306202192524 chapter:1451.8944551083714 plot:1321.2242710505686 authors:1307.1947195304822 price:1295.4496191716996 quality:1271.969525739485 people:1218.6864247835138 romance:1122.899948065611 understand:1119.38780540571 chapters:1096.7692923959478 mystery:1046.2952058258936 lives:1036.6192725252724 writer:1031.1525521459298 fit:1013.7156415635744 novels:1012.9659254304063 end:941.140965311147 man:924.4826243357999 learn:922.7744001162189 loved:918.7395592312931 god:912.8850160100659 ideas:903.3457989046653 fiction:891.2111060907141 human:875.0753715129342 relationship:874.2852259588525 understanding:863.8394753865076 ending:861.0881178366625 subject:839.3496037432593 bought:821.5738903678629 war:814.3175679187455 interested:797.2308974972292 young:784.4826823658009 writes:780.9041011897434 size:775.0605952952595 family:770.9499824888956 sense:769.7428833078013 finished:769.5114399297265 historical:768.8244776158177 questions:743.8076602494294 examples:741.9786836602917 knowledge:737.5805346409846 text:734.1705532311192 recipes:730.7559723011766 events:725.3683119780851 published:718.6007351013919 interest:718.1702326927532 found:715.1309893972094 works:713.8496693681773 wait:702.9551725067703 illustrations:701.0611082460483 children:690.8137614564189 journey:688.866758311885 forward:684.6156170963862 study:684.5058389224741 reference:679.0282187465759 guide:674.5192074657697 heart:671.5766333137716 copy:667.6547360242839 felt:664.2894953104995 fascinating:664.0175589564186
<CDs_and_Vinyl> music:13266.381611603789 albums:6730.542006976986 tracks:6528.836325166372 lyrics:5939.672024942329 listen:5685.047901641619 band:4896.175725031957 rock:4827.501867680883 vocals:4785.881671742037 track:4597.971466287385 listening:3584.5885508620618 heard:3535.1865760367655 sound:2993.6611232433856 recording:2912.739693141355 voice:2657.0644855477008 quot:2375.5383224679113 record:2328.9323016331196 singing:2308.630482084974 musical:2286.9705353777354 sounds:2180.0666391009545 cds:2145.66773284632 recordings:2121.591349053009 vocal:2109.394848158028 recorded:2061.5758950057634 jazz:2054.7090833309235 disc:2044.1265662835508 singer:2035.6874540280885 tunes:1928.3825401574943 hear:1892.3310617026284 solo:1772.0811351197046 sing:1758.0686928682858 bands:1733.0538223281148 blues:1701.708806982449 listened:1659.7725494473952 catchy:1655.4416805158853 melodies:1580.2384987895555 hits:1574.4388687643445 concert:1555.0021249840224 fan:1530.3697008707288 pop:1478.0137486715803 release:1368.828257050857 acoustic:1362.352453314371 instrumental:1353.1690703367008 artists:1314.9521252089141 melodic:1309.1253818639516 musicians:1180.1860481080855 fans:1161.650828412309 sings:1160.0892648799145 listener:1153.0809103451224 piano:1139.3404850559652 released:1130.7651625994818 chorus:1112.2763478499132 musically:1103.1968015016014 punk:1098.3158405062447 collection:1089.9963551122955 arrangements:1078.449044690047 records:1072.6358828039058 ballads:1053.0107788362736 instruments:1030.0515390112005 drums:1020.9524693348451 orchestra:1017.1169147807294 compilation:1011.9228049307078 melody:1006.529908149709 classic:989.1867021385999 singers:977.1783016847577 songwriting:974.5866446839508 ballad:972.1788304194478 production:969.4099821638953 live:953.4487876056379 bass:945.9523915892219 guitars:919.8356369371011 favorite:908.20138200067 riffs:906.2133898533899 dance:906.0448247383857 soundtrack:891.3555382428912 musicianship:883.9937387123457
<Cell_Phones_and_Accessorie> iphone:3898.5446728083125 screen:1954.9427704148459 protector:1896.5236736433092 galaxy:1643.215184001837 charger:1471.3359307278877 charge:1262.230256795005 dropped:1232.8402436668669 otterbox:1208.817862274815 battery:1061.4316948958456 samsung:1000.6886676314093 protects:1000.3409596311075 phones:937.9162590734275 cases:929.8798986016824 protection:928.1900966436458 charging:844.2116770156471 fits:835.5485591136367 headset:760.7434289713241 htc:715.9470185292475 cell:612.9191953657446 verizon:594.9046020898189 nokia:591.2291981721344 buttons:581.2532171835585 protectors:541.0672249624537 bluetooth:524.7131568753791 blackberry:503.8764577234719 otter:444.2067500930321 pocket:440.0042505508519 bubbles:438.54575545250555 droid:429.6209462843271 cover:427.2515445153162 protective:419.9379789225969 motorola:387.32555619271307 stylus:386.05525163284767 protected:367.7602555229023 fit:364.25664858528415 protect:347.41070224850716 rubber:334.4029783527452 bulky:329.3625985784018 lg:324.9210753740484 charges:310.7979474168584 edges:304.0765541468515 clip:302.2562275045086 charged:299.22732869237296 headsets:291.90857091101674 mobile:287.6576775548604 sprint:286.3855475942815 slim:283.37474277657236 kickstand:281.34040509678954 iphones:279.84637690219137 sim:277.29053681281033 perfectly:272.56057284397224 scratches:269.88023042209375 chargers:263.2674636394849 drop:247.73777584255163 tpu:240.43682219370976 cracked:239.98781208233012 rubberized:235.2179406387715 gs:222.0878221706073 spigen:218.71489262276762 smartphone:214.89161214922308 texting:214.27510604967094 unlocked:213.80157041369344 ear:210.8441701074675 broke:210.68831853344685 grip:207.0044284193688 zagg:206.0495268969946 holster:205.7598230672618 lifeproof:205.20765048905855 plastic:204.86061522100331 cellphone:203.259494842172 mah:201.81098999868584 reading:199.50696010650708 usb:199.0747504887674 ports:193.50979312831706 defender:191.88336471129224
<Clothing_Shoes_and_Jewelry> comfortable:4679.1730146688715 shoe:4030.757221741027 size:3315.9973744204344 fit:2749.4879246095575 pair:2429.4804925045837 shirt:2220.8287279691654 boots:1986.333070177638 wearing:1675.0742166084667 dress:1471.8644349923597 worn:1405.344418443856 earrings:1392.1844897121102 jeans:1152.0687642727996 sandals:1125.862833839167 feet:1115.8975100667205 bra:999.8113628605987 socks:989.059635571278 bracelet:986.6290609532331 wore:979.465812455821 cute:926.5448647390702 necklace:882.9290583842892 compliments:855.4156112637722 heel:849.2096113417068 costume:844.6000500334952 sizing:815.6676604430357 leather:811.0893449683475 pants:785.6730397486165 watches:736.6682196681404 sole:729.3774265974947 color:727.4568676646412 fabric:723.457121962488 comfy:669.6092212105351 toe:660.0322494753542 waist:642.0266849784422 slippers:596.9557682971251 ordered:571.8795904247598 fits:564.8416554064806 shirts:561.4136837886568 jewelry:542.6099780594064 foot:540.7666626209735 ring:525.6846829941846 pairs:506.2185125271157 wears:487.3114904708064 leggings:455.25638812681035 sizes:447.7840928208262 sandal:442.3889335890386 tight:437.21570544377437 watch:437.11256057774955 quality:429.8690728587216 jacket:419.23832837227894 soles:418.3158864280437 arch:417.68397129917474 boot:404.6281349069668 casual:404.5167882456483 colors:389.3330660553185 soft:385.90997369564894 flattering:383.5896514605781 warm:380.35982171524716 sneakers:376.35580917519815 stylish:375.4681679961623 pendant:342.85938503471453 outfit:342.389985434199 material:334.47891914910105 characters:327.58560698176484 bras:325.05098337258084 reading:321.3403486457767 nice:319.6872195963211 narrow:307.01748516267037 sweater:306.6886973880941 cotton:305.54136345103586 clasp:305.31210216331846 wrist:305.1723376066355 footbed:292.4561772751939 dressy:290.6615793975923 skirt:287.87345809075975 walking:286.96087930852997
<Digital_Music> music:1434.9588236078807 lyrics:905.117296937195 listen:780.883560078449 heard:596.3725258460345 albums:585.349864588752 voice:501.6498867376602 playlist:458.6509735208863 vocals:455.2539761706623 catchy:437.9724389905707 band:382.18768070537965 tracks:348.4639982156941 sing:347.5125091798382 upbeat:344.78176803182185 listening:322.60871932738104 mp:320.3133844804694 rock:315.2458058359785 singing:296.48416240066774 sings:289.3776963398299 singer:285.4616982725934 sounds:244.13828416957574 rap:229.37888649257118 artist:222.64417208159597 ballad:217.32612689808002 track:216.7802311648863 radio:213.88539052558062 hear:212.12341662183323 sound:207.22072497749969 sung:201.41045352129302 jazz:199.81530607549064 listened:187.00683505681437 nastradamus:186.5908584682719 crusin:186.5908584682719 spangled:186.5908584682719 bloops:186.5908584682719 underoath:186.5908584682719 hackett:186.5908584682719 download:176.85749018856902 tune:166.91316685545726 ep:166.14592549971348 cher:161.45809697067972 drums:155.56219283820505 talented:147.02500534256606 bluesy:144.0990468238278 dance:143.69269990702415 blues:142.27227456136038 artists:142.26519985045928 funk:142.0561926499816 falsetto:136.96609672142438 sounding:135.53957030309581 recording:134.73856044207292 groove:134.56799740749176 soulful:134.27157651847986 indie:125.42747366814855 bands:124.28869665101357 withers:123.06567275588536 songstress:123.06567275588536 krall:123.06567275588536 pharrell:123.06567275588536 yodeling:123.06567275588536 pretenders:123.06567275588536 bleeps:123.06567275588536 musicians:122.10590991611463 listens:121.12425254219617 knopfler:116.55450178576368 lyrically:116.00783044057839 classic:114.06456775219765 recorded:113.43458544909907 record:113.10575533930025 guitarist:111.22422684210707 released:109.69331103735988 rapping:109.26463743549478 vocal:108.53076660243156 bonnie:106.52955416705034 chorus:105.58410090727992 favorite:101.97654836645314
<Electronic> cable:3091.5223488250917 computer:2611.714657161922 usb:2513.2621491114455 screen:1835.7090860003666 ipod:1659.9634688762237 speakers:1629.6670244000713 works:1621.7497888538367 tv:1599.479700550468 sound:1592.0391241756956 device:1581.1961523987259 gb:1555.0269651429905 adapter:1553.152378490856 keyboard:1525.5435122954586 ipad:1486.5062954879495 hdmi:1483.0153510349699 battery:1457.4340757178327 headphones:1429.4149220919976 plug:1424.1120710190617 pc:1273.794979433641 wireless:1238.9232378649049 drive:1208.1578431606224 tablet:1197.1318849670174 card:1175.305584502196 sony:1165.017588764661 hd:1133.516506897535 plugged:1121.2569487473188 lens:1102.1028967428608 cables:1099.1089607709691 software:1058.3340502578853 port:1049.8636132061088 windows:1010.2589441166464 remote:972.1624522406355 unit:963.3075110340941 router:920.8745098785204 price:892.1755210113014 canon:868.9540930773559 signal:864.1838496463665 external:852.8044342441493 speaker:843.1516123609301 audio:836.6605324320966 nikon:817.5327258419268 player:814.5963106534782 cord:814.1171889851264 setup:812.3694223553612 mouse:805.0379989177054 sd:789.1238005645102 apple:759.3583196821884 devices:750.2982229835661 lcd:738.1401620915813 desktop:694.442317245423 cameras:693.8329526250932 quality:688.9125836006416 receiver:676.9282318406248 charger:656.37808578608 logitech:639.159246230688 mac:636.1631785557539 video:635.2893964602364 mp:606.043553342885 ports:585.6596090047569 installed:580.747851896708 antenna:580.4391650836459 asus:565.5681092950884 bluetooth:563.7807303046033 macbook:555.5547563785545 worked:553.5081966353606 connect:551.7287886811129 gps:550.2975689056586 zoom:548.7096349806129 monitor:545.7739826947446 flash:542.0640106036167 power:536.8150895320423 files:536.6152960905599 charge:528.9128772462368 portable:519.1854698150618 mode:506.9830988708046
<Grocery_and_Gourmet_Food> flavors:2104.380375336627 snack:2070.358999580278 delicious:1741.6780584465223 tasting:1691.108227369699 tastes:1664.2852352380523 tea:1663.1968518514198 chocolate:1609.9985178309346 sugar:1371.901266955906 flavored:1366.2926078450248 tasted:1011.6437365619763 drink:949.9842815877861 teas:944.7654424824934 organic:934.8176067390827 coffees:875.5591258791943 sauce:856.7516500427226 salty:837.7395312809903 butter:805.9957113523401 gluten:786.8339110370358 tasty:756.5233688087118 flavorful:709.2061895347061 peanut:685.2281375729144 sweetener:684.4198693250094 spicy:679.1601075170908 salt:667.4459338842908 cocoa:666.4371424506602 candies:665.1916064926287 milk:660.4457860781389 corn:636.1703161309046 cereal:636.0965047129672 creamy:635.4492341372182 seasoning:603.9234935706139 aroma:599.5839902999597 eat:599.2099877140251 keurig:594.0687481055085 cinnamon:592.0944246290685 crunchy:592.0944246290685 bitter:589.8609606071241 cookies:577.745194463488 almonds:569.186656488311 texture:566.7034868312472 sodium:553.0720187661495 coconut:545.8451139497805 grocery:541.2291797232739 cup:535.0064086390763 chewy:526.2353477457181 crackers:522.579874038725 rice:514.4923455601804 yummy:510.49908849514986 oatmeal:491.1511556549238 calories:468.21656288837113 starbucks:462.5451880268734 breakfast:460.6171727239566 drinker:456.56488333641653 aftertaste:449.5901336873653 candy:433.49983863292636 decaf:399.0744533494874 cereals:399.0744533494874 healthy:397.85576300994575 caramel:391.95545841232246 flour:386.7558686436589 fruit:384.766714964316 hazelnut:379.43369952650795 sweetened:379.43369952650795 cups:377.72423444035763 roast:373.9287004603734 chocolates:371.5739003432531 pack:361.2324418332609 iced:360.9292602395254 tazo:358.69499643418993 granola:351.9136281918112 vanilla:348.08396748293245 syrup:346.05797482113405 stevia:343.52200114103533 flavoring:343.496959756098 caffeine:326.8200046044579
